label,direction,confidence,btc_price_entry,fear_greed_value,rsi14,technical_score,hour_utc,hour_sin,hour_cos,cvd_6m_pct,ema_trend_up,technical_bias_bullish,signal_technical_buy,signal_sentiment_pos,signal_fg_fear,signal_volume_high,classification
0,UP,0.62,68021.28,9.0,35.07,-2.5,12,0.0,-1.0,,0,0,0,0,1,0,BET
0,DOWN,0.65,64182.07,8.0,39.24,-3.5,21,-0.707107,0.707107,,0,0,0,0,0,0,SKIP
0,DOWN,0.56,65803.33,5.0,42.34,-2.5,15,-0.707107,-0.707107,,0,0,0,0,1,0,BET
0,DOWN,0.51,62978.93,8.0,50.43,1.5,14,-0.5,-0.866025,,0,1,0,0,1,0,SKIP
1,DOWN,0.51,64664.86,5.0,46.93,0.5,23,-0.258819,0.965926,,0,0,0,0,1,0,SKIP
0,UP,0.62,63644.6,8.0,69.14,3.5,14,-0.5,-0.866025,,0,1,0,0,1,0,SKIP
0,DOWN,0.6,63073.3,8.0,44.08,-2.5,9,0.707107,-0.707107,,0,0,0,0,1,0,ALERT
0,UP,0.62,64447.84,8.0,57.43,3.5,19,-0.965926,0.258819,,0,1,0,0,1,0,SKIP
1,DOWN,0.51,65442.61,11.0,58.0,1.0,9,0.707107,-0.707107,,0,1,0,0,1,0,SKIP
1,UP,0.55,67397.51,9.0,42.67,-2.5,18,-1.0,-0.0,,0,0,0,0,0,0,NO_BET
0,UP,0.58,67632.53,9.0,51.59,1.5,16,-0.866025,-0.5,,0,1,0,0,1,0,BET
0,UP,0.77,66906.53,11.0,75.7,5.0,15,-0.707107,-0.707107,,0,1,0,0,0,0,ALERT
0,UP,0.52,68186.46,9.0,58.76,1.0,11,0.258819,-0.965926,,0,1,0,0,1,0,NO_BET
1,DOWN,0.55,64402.48,8.0,48.4,0.5,21,-0.707107,0.707107,,0,0,0,0,1,0,SKIP
1,UP,0.75,66470.46,11.0,49.0,5.0,14,-0.5,-0.866025,,0,1,0,0,0,0,ALERT
0,UP,0.75,65046.71,11.0,50.85,-0.5,8,0.866025,-0.5,,0,0,0,0,0,0,ALERT
0,UP,0.6,67588.33,9.0,66.75,2.5,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
1,DOWN,0.7,63731.57,8.0,35.7,-4.5,3,0.707107,0.707107,,0,0,0,0,1,0,BET
0,DOWN,0.5,64755.89,5.0,53.04,2.5,23,-0.258819,0.965926,,0,1,0,0,1,0,SKIP
0,UP,0.72,64964.81,8.0,62.91,4.5,0,0.0,1.0,,0,1,0,0,1,0,ALERT
0,DOWN,0.72,66060.5,5.0,41.39,-4.5,12,0.0,-1.0,,0,0,0,0,1,0,BET
1,DOWN,0.68,67940.27,9.0,35.92,-4.5,12,0.0,-1.0,,0,0,0,0,1,0,BET
0,UP,0.7,67682.34,9.0,67.11,4.5,22,-0.5,0.866025,,0,1,0,0,1,0,BET
0,DOWN,0.62,63032.97,8.0,45.02,-1.5,7,0.965926,-0.258819,,0,0,0,0,0,0,ALERT
1,DOWN,0.58,67553.59,9.0,44.24,-3.5,16,-0.866025,-0.5,,0,0,0,0,1,0,BET
1,UP,0.75,64435.6,8.0,62.04,2.5,19,-0.965926,0.258819,,0,1,0,0,0,0,ALERT
1,UP,0.55,66191.06,11.0,74.59,2.5,2,0.5,0.866025,,0,1,0,0,0,0,SKIP
1,UP,0.75,63879.15,8.0,34.53,-5.0,23,-0.258819,0.965926,,0,0,0,0,0,0,BET
